frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
309,1.0,[2045.7635395716025 1286.6729264884227 2664.277036145688 1805.7532393386875],[2239.478515625 1589.748779296875 2487.59130859375 1694.18115234375],0.43104663491249084,AP05JEO,0.32405133681322207
310,1.0,[2048.553407688362 1290.2657478183298 2671.72481947615 1809.341530585394],[2239.98046875 1592.490966796875 2460.822509765625 1699.64501953125],0.2939489781856537,AP05JEO,0.25173068872966775
311,8.0,[1046.306184603351 1182.1174688844171 1574.8250132063145 1642.731348705965],[1217.584716796875 1448.5281982421875 1389.988525390625 1542.889892578125],0.4921291470527649,KH05ZZK,0.5201781242364034
315,1.0,[2054.3005247033298 1307.3011415995893 2668.545171414191 1827.1368575911215],[2245.93603515625 1612.9998779296875 2511.2001953125 1723.9061279296875],0.29844024777412415,AP05JEO,0.316480608981263
316,1.0,[2050.534558217805 1307.694806273502 2667.0285422722636 1827.8802836208713],[2275.761474609375 1618.083251953125 2510.20361328125 1712.410400390625],0.4214842915534973,AP05JEO,0.22605796578576218
317,1.0,[2045.496762709693 1308.906334370838 2665.3229164279373 1830.036509819634],[2268.243896484375 1616.5338134765625 2514.50244140625 1712.7037353515625],0.3311499357223511,AP05JEO,0.47864925589017937
318,1.0,[2046.258233511131 1310.7604323469513 2668.2965883741617 1833.1414264097662],[2277.642578125 1611.2978515625 2527.572509765625 1735.8916015625],0.27035921812057495,AP05JEO,0.3750747173150485
319,1.0,[2046.1008190013492 1311.1791740430817 2669.8020041295003 1834.4185606782285],[2277.129638671875 1611.281982421875 2527.58935546875 1736.022216796875],0.27099329233169556,AP05JEQ,0.3024841007397643
320,1.0,[2052.575308921107 1313.8826803989548 2671.946218466825 1837.1677733187119],[2295.44677734375 1624.609130859375 2504.29150390625 1723.48681640625],0.43802762031555176,AP05JEO,0.10791626803693484
321,1.0,[2057.774600471755 1316.7625661151878 2673.838848900025 1840.4597184274653],[2288.8828125 1627.2777099609375 2498.8798828125 1715.5594482421875],0.2945697605609894,AP05JEQ,0.3835320485550066
323,1.0,[2053.520217192181 1323.415007100222 2670.75395110694 1849.3895133263102],[2274.71240234375 1630.37255859375 2475.983642578125 1735.2685546875],0.4882693588733673,AP05JEO,0.2623036731644129
